Nr.,Zeichen (Varianten),Pīnyīn,Bedeutung und Anmerkungen,Häufigkeit,Kurzzeichen,Beispiele
1,一,yī,eins,42,,七三不世
2,丨,gǔn,Vertikalstrich,21,,中
3,丶,zhǔ,Tropfstrich,10,,丸主
4,"丿 (乀, 乁)",piě,Schrägstrich,33,,久之乎
5,"乙 (乚, 乛)",yǐ,"gerundeter Vertikalstrich, Haken, der/die/das zweite",42,,九也
6,亅,jué,Vertikalstrich mit Haken,19,,了事
7,二,èr,zwei,29,,五井些亞
8,亠,tóu,Deckel (Kopf),38,,亡交京
9,人 (亻 links),rén,"Mensch, jeder, jemand, alle, Persönlichkeit, Charakter",794,,仁休位今
10,儿,ér,"Beine, Kind, Jugendlicher, Sohn",52,,兄元
11,入,rù,"eintreten, betreten, Einkommen, übereinstimmen mit",28,,入兩
12,八(丷),bā,"acht, teilen",44,,公六共兵
13,冂,jiōng,"umfassen, Wildnis, freies/offenes Land",50,,内再
14,冖,mì,bedecken,30,,冗冠
15,冫,bīng,Eis,115,,冬冶冷凍
16,几,jī,Tischchen,38,,凡
17,凵,qiǎn/kǎn,"Behälter, geöffneter Mund",23,,凶出函
18,"刀 (刁, 刂)",dāo,"Messer, Schwert, Hiebwaffe, Säbel",377,,刀分切初利刻則前班
19,力,lì,"Kraft, Stärke, Fähigkeit",163,,力加助勉
20,勹,bāo,"einwickeln, umarmen",64,,勾包
21,匕,bǐ,"Dolch, Löffel",19,,化北
22,匚,fāng,Kasten,64,,匣
23,匸,xǐ,"verstecken, runde Schachtel",17,,匹區
24,十,shí,"zehn, völlig, vollständig",55,,十午半博
25,卜,bǔ,Orakel,45,,占卦
26,卩 (卪),jié,"Siegel, (Bambusknoten)",40,,印危卵
27,厂,hǎn,Abhang,129,,厚原
28,厶,sī,privat,40,,去參
29,又,yòu,"wieder, noch, Hand",91,,友反取受
30,口,kǒu,"Mund, Öffnung, Eingang, Mündung",1.146,,口古可名君否呉告周味命和哲唐善器
31,囗,wéi,"Begrenzung, Umzäunung",118,,四回國圖
32,土,tǔ,"Erde, Boden, Land, unkultiviert",580,,土在地型城場壁壓
33,士,shì,"Gelehrter, Intellektueller, Junggeselle, Soldat",24,,士壹
34,夂,zhǐ,schlendern,11,,(夂)
35,夊,suī,überholen,23,,夏
36,夕,xī,"Abend, Sonnenuntergang",34,,夕外多夜
37,大 (夨),dà,"groß, riesig, gewaltig, Alter, sehr",132,,大天奈奧
38,女,nǚ,"Frau, weiblich",681,,女好妄妻姉始姓姫
39,"子 (孑, 孒, 孓)",zǐ,"Kind, Meister, Samen",83,,子孔字學
40,宀,mián,Dach,246,,守家寒實
41,寸,cùn,"Daumen, Zoll",40,,寸寺尊將
42,小,xiǎo,"klein, geringfügig, unbedeutend, jung",41,,小少
43,尢 (尣),wāng,"lahm, gebrochenes Bein",66,,就
44,尸,shī,"Leichnam, Leiche",148,,尺局
45,屮,chè,"Spross, Keim",38,,屯
46,山,shān,"Berg, Gebirge",636,,山岡岩島
47,"巛 (巜, 川)",chuān,"Strom, Fluss",26,,川州巡
48,工,gōng,Arbeit,17,,工左巫差
49,"己 (已, 巳)",jǐ,"selbst, persönlich, eigen",20,,己巳
50,巾,jīn,"Tuch, Schal",295,,市布帝常
51,干,gān,"trocken, Schild (Waffe)",9,,平年
52,幺,yāo,"jung, gering, klein",50,,幻幼
53,广,yǎn,Schrägdach,15,,序店府度座庭廣廳
54,廴,yín,"bewegen, marschieren",9,,延
55,"廾 (卄,廿)",gǒng (niàn),gefaltete Hände (zwanzig),50,,弁
56,弋,yì,"Jagdpfeil, Wurfspieß, Haken",15,,式弑
57,弓,gōng,Bogen,165,,弓引弟弱彌
58,彐 (彑),jì,"Schweinskopf, Schweinerüssel",25,,彖
59,彡,shān,"Bart, Haare",62,,形彦
60,彳,chì,"Schritt, Spazieren gehen",215,,役彼後得徳徼
61,心 (忄 links),xīn,"Herz, Gefühl",1.115,,必忙忌性悪情想
62,戈,gē,"Speer, Hellebarde, Hiebaxt",116,,成戦
63,"戶 (户, 戸)",hù,"Waffe, Tür, Haus, Familie",44,,戸戻所
